Year,Quarter,Class,Title,Instructor,Students,AverageGPA,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2010,Fall,ACCTG 225,Managerial Acctg,"Adams, Helen D.",178,2.9,5,51,15,29,45,7,12,2,2,2,1,2,5
2010,Fall,ARCHY 101,Exploring Archy,"Johnson, Jack A",221,3.1,35,76,37,19,13,13,8,8,1,1,1,6,3
2010,Fall,ART H 201,Surv West Art-Anc,"Laird, Margaret L",255,2.9,10,66,37,47,39,19,11,4,1,1,1,8,11
2010,Fall,ART H 233,Native Art Pnw,"Bunn-Marcuse, Katie",139,3,3,49,28,17,16,5,7,1,3,1,1,3,5
2010,Fall,ASTR 101,Astronomy,"Larson, Ana M.",239,3,46,58,28,35,25,9,10,5,3,2,2,8,8
2010,Fall,BIO A 201,Prin Biologcl Anth,"Kushnick, Geoff",144,2.8,13,37,21,13,19,9,9,3,4,4,3,5,4
2010,Fall,BIOC 405,Intro To Biochem,"Hurley, James B",723,2.8,46,104,106,99,154,86,62,36,10,5,3,1,11
2010,Fall,BIOC 440,Biochemistry,"Klevit, Rachel",320,2.9,44,70,37,26,56,21,13,13,10,3,3,7,17
2010,Fall,BIOL 118,Survey Of Physiol,"Petersen, Karen E",389,2.9,27,52,95,85,44,26,14,19,3,7,3,5,9
2010,Fall,BIOL 180,Intro Biology,"Freeman, Scott",678,2.9,59,103,121,130,104,61,35,19,15,6,3,7,15
2010,Fall,BIOL 200,Intro Biol,"Schivell, Amanda",381,2.7,26,65,35,57,61,35,29,32,14,5,2,7,13
2010,Fall,BIOL 350,Foundtns Physiology,"Kennedy, Michael L",126,2.6,8,21,16,15,17,15,13,3,6,1,3,7,1
2010,Fall,BIOL 462,Adv Animal Phys,"Wenderoth, Mary P",102,2.5,7,7,14,14,13,11,8,12,4,2,2,4,4
2010,Fall,CHEM 142,General Chemistry,"Campbell, Charles T",517,2.7,42,124,56,50,54,55,26,31,21,17,5,23,13
2010,Fall,CHEM 142,General Chemistry,"Carroll, Andrea D.",503,2.5,34,46,62,67,96,29,50,37,21,15,9,17,20
2010,Fall,CHEM 142,General Chemistry,"Chilana, Ashvi",375,2.8,23,57,53,52,70,43,33,23,5,5,1,3,7
2010,Fall,CHEM 162,General Chemistry,"Craig, Colleen",287,2.8,7,39,59,43,58,27,22,20,3,2,1,2,4
2010,Fall,CHEM 237,Organic Chemistry,"Boydston, Andrew Jackson",391,2.7,16,64,59,46,67,28,27,54,1,2,5,1,21
2010,Fall,COM 201,Intro To Comm I,"Domke, David S.",425,2.8,10,70,89,85,89,29,18,20,6,1,1,4,3
2010,Fall,CSE 142,Computer Prgrmng I,"Stepp, Martin",294,2.7,29,56,35,35,42,21,13,9,5,1,2,23,23
2010,Fall,CSE 142,Computer Prgrmng I,"Stepp, Martin",320,2.7,29,71,35,29,41,25,12,12,5,5,2,25,29
2010,Fall,CSE 143,Computer Prgrmng Ii,"Reges, Stuart",247,2.6,20,49,29,32,24,23,13,9,3,6,6,19,14
2010,Fall,ECON 200,Intro Microecon,"Salehi-Esfahani, Haideh",486,3,38,71,108,110,71,25,16,5,6,3,5,8,20
2010,Fall,ECON 200,Intro Microecon,"Ellis, Gregory M.",392,3.1,33,126,76,61,39,13,7,14,2,3,1,12,5
2010,Fall,ENVIR 100,Environmntl Foundatn,"Bauman, Yoram K",189,2.9,13,37,31,37,34,9,8,1,7,1,2,3,6
2010,Fall,ESRM 100,Environmental Sci,"Harrison, Robert B",156,3.3,68,24,12,13,13,2,6,6,1,5,1,1,4
2010,Fall,ESS 102,Space&Space Travel,"Prager, James R.",177,2.8,22,46,20,21,19,10,9,5,5,3,1,11,5
2010,Fall,GENOME 371,Intro Genetics,"Raghuraman, M. K.",188,2.7,20,27,26,16,26,15,15,13,4,4,4,7,11
2010,Fall,HSTAA 101,Surv Hist Of U S,"Rorabaugh, William J",143,3,8,35,24,25,30,2,5,4,2,1,1,2,4
2010,Fall,LING 100,Fund Of Grammar,"Zagona, Karen",186,3.1,30,55,17,28,22,7,8,2,4,3,1,5,4
2010,Fall,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",220,2.9,42,52,31,14,22,17,10,10,4,3,3,8,4
2010,Fall,MATH 111,Algebra With Appl,"Taggart, Jennifer",191,2.8,32,39,15,19,23,15,12,11,5,7,2,6,5
2010,Fall,MATH 111,Algebra With Appl,"Taggart, Jennifer",194,3.1,47,45,21,24,17,6,12,10,4,2,1,2,3
2010,Fall,MATH 120,Precalculus,"Loveless, Andrew",191,2.8,19,45,17,26,42,2,6,11,2,5,3,8,5
2010,Fall,MATH 120,Precalculus,"Conroy, Matthew",182,2.5,17,30,22,22,22,2,9,12,7,6,5,17,11
2010,Fall,MATH 120,Precalculus,"Conroy, Matthew",144,2.6,14,29,20,14,25,1,5,8,7,2,2,13,4
2010,Fall,MATH 124,Calc Analyt Geom I,"Taggart, Jennifer",88,2.6,8,9,11,8,18,6,8,4,6,1,3,1,5
2010,Fall,MATH 126,Calc Anyl Geom Iii,"Conroy, Matthew",193,2.8,16,35,30,33,23,12,11,6,6,6,3,6,6
2010,Fall,MATH 126,Calc Anyl Geom Iii,"Duchamp, Thomas E",196,2.8,17,33,31,32,27,8,15,8,3,6,2,4,10
2010,Fall,MATH 307,Intro To Diff Eq,"Sylvester, John",47,2.7,7,4,5,7,9,2,4,1,2,1,2,1,2
2010,Fall,MGMT 200,Introduction To Law,"Bergstrom, Tod",181,3,26,38,25,24,27,16,11,1,1,3,3,1,5
2010,Fall,MICROM 301,Gen Microbiology,"Mougous, Joseph D",207,2.5,20,22,18,20,25,30,18,12,9,10,3,10,10
2010,Fall,MICROM 410,Fund Of Gen Micro I,"Parsek, Matthew R",196,2.4,27,17,12,17,30,20,18,15,8,10,4,16,2
2010,Fall,MUSIC 116,Elem Music Theory,"Kappy, David L",178,2.3,30,24,20,9,14,7,2,3,6,10,5,31,17
2010,Fall,PHIL 100,Intro To Philosophy,"Baker, Ann",167,2.8,25,26,20,22,19,12,11,10,5,1,4,6,6
2010,Fall,PHIL 242,Medical Ethics,"Goering, Sara L.",180,2.9,7,51,24,33,27,7,6,6,2,4,1,2,10
2010,Fall,PHYS 114,General Physics,"Van Dyck, Robert S. Jr.",183,2.8,23,31,28,20,22,11,8,10,2,6,2,5,15
2010,Fall,PSYCH 101,Intro To Psych,"Passer, Michael W",275,3.1,88,36,39,19,32,24,10,9,6,3,1,6,2
2010,Fall,PSYCH 101,Intro To Psych,"King, Kevin M",260,3.2,68,61,35,27,25,16,8,10,4,1,1,2,2
